weighting,variable_x,variable_y,pairwise_n,correlation
observation,monthly_rank,reported_last_week_rank,73424,0.9356798337
observation,monthly_rank,reported_peak_position,81797,0.8081726288
observation,monthly_rank,reported_weeks_on_chart,81797,-0.4103408541
observation,monthly_rank,best_chart_rank,81797,0.7171379466
observation,monthly_rank,weekly_observation_count,81797,-0.4739356301
observation,monthly_rank,chart_weeks,81797,-0.4739430032
observation,monthly_rank,total_chart_points,81797,-0.6707015526
observation,monthly_rank,snapshot_months_selected,81797,-0.4344772678
observation,monthly_rank,mb_duration_median_seconds,67313,-0.004822913973
observation,monthly_rank,ll_sexual_content,64422,-0.02683638291
observation,monthly_rank,ll_violence,64422,0.008873002582
observation,monthly_rank,ll_explicit_language,64422,0.00178528211
observation,monthly_rank,ll_substance_use,64422,0.0393998791
observation,monthly_rank,detox_toxicity,64426,-0.007649353123
observation,monthly_rank,detox_severe_toxicity,64426,-0.005891604844
observation,monthly_rank,detox_obscene,64426,-0.01231298467
observation,monthly_rank,detox_threat,64426,-0.01210219672
observation,monthly_rank,detox_insult,64426,-0.003172457281
observation,monthly_rank,detox_identity_attack,64426,0.008950144817
observation,monthly_rank,detox_sexual_explicit,64426,-0.01483916451
observation,monthly_rank,emotion_admiration,64426,-0.03343790071
observation,monthly_rank,emotion_amusement,64426,-0.01384132556
observation,monthly_rank,emotion_anger,64426,-0.01204541504
observation,monthly_rank,emotion_annoyance,64426,0.01130000696
observation,monthly_rank,emotion_approval,64426,-0.01525586538
observation,monthly_rank,emotion_caring,64426,-0.03532796543
observation,monthly_rank,emotion_confusion,64426,-0.03515699498
observation,monthly_rank,emotion_curiosity,64426,-0.04934379886
observation,monthly_rank,emotion_desire,64426,-0.0341576385
observation,monthly_rank,emotion_disappointment,64426,-0.00206629733
observation,monthly_rank,emotion_disapproval,64426,0.003929480903
observation,monthly_rank,emotion_disgust,64426,-0.006358319173
observation,monthly_rank,emotion_embarrassment,64426,-0.004262795456
observation,monthly_rank,emotion_excitement,64426,-0.04895805036
observation,monthly_rank,emotion_fear,64426,-0.03160653858
observation,monthly_rank,emotion_gratitude,64426,-0.005102652654
observation,monthly_rank,emotion_grief,64426,-0.01922979762
observation,monthly_rank,emotion_joy,64426,-0.03419680489
observation,monthly_rank,emotion_love,64426,-0.04718586262
observation,monthly_rank,emotion_nervousness,64426,-0.03410111744
observation,monthly_rank,emotion_optimism,64426,-0.02255074191
observation,monthly_rank,emotion_pride,64426,-0.01488953994
observation,monthly_rank,emotion_realization,64426,0.01128377168
observation,monthly_rank,emotion_relief,64426,-0.01717410422
observation,monthly_rank,emotion_remorse,64426,-0.02246382878
observation,monthly_rank,emotion_sadness,64426,-0.01368731013
observation,monthly_rank,emotion_surprise,64426,-0.0338546843
observation,monthly_rank,emotion_neutral,64426,0.03986782918
observation,monthly_rank,sentiment_negative,64426,0.03729954165
observation,monthly_rank,sentiment_neutral,64426,-0.001287944912
observation,monthly_rank,sentiment_positive,64426,-0.03811774887
observation,reported_last_week_rank,reported_peak_position,73424,0.8586712699
observation,reported_last_week_rank,reported_weeks_on_chart,73424,-0.4632336632
observation,reported_last_week_rank,best_chart_rank,73424,0.7273068591
observation,reported_last_week_rank,weekly_observation_count,73424,-0.4508162438
observation,reported_last_week_rank,chart_weeks,73424,-0.4508243032
observation,reported_last_week_rank,total_chart_points,73424,-0.6678578608
observation,reported_last_week_rank,snapshot_months_selected,73424,-0.4283072437
observation,reported_last_week_rank,mb_duration_median_seconds,60746,-0.004230448029
observation,reported_last_week_rank,ll_sexual_content,58265,-0.03403534553
observation,reported_last_week_rank,ll_violence,58265,-0.00130171308
observation,reported_last_week_rank,ll_explicit_language,58265,-0.006025784599
observation,reported_last_week_rank,ll_substance_use,58265,0.02963598063
observation,reported_last_week_rank,detox_toxicity,58267,-0.02003665171
observation,reported_last_week_rank,detox_severe_toxicity,58267,-0.01786442009
observation,reported_last_week_rank,detox_obscene,58267,-0.02434981032
observation,reported_last_week_rank,detox_threat,58267,-0.02147819823
observation,reported_last_week_rank,detox_insult,58267,-0.01425966514
observation,reported_last_week_rank,detox_identity_attack,58267,-0.001386511412
observation,reported_last_week_rank,detox_sexual_explicit,58267,-0.02539533319
observation,reported_last_week_rank,emotion_admiration,58267,-0.03013602014
observation,reported_last_week_rank,emotion_amusement,58267,-0.01975424045
observation,reported_last_week_rank,emotion_anger,58267,-0.02161669509
observation,reported_last_week_rank,emotion_annoyance,58267,0.0011510795
observation,reported_last_week_rank,emotion_approval,58267,-0.01281497698
observation,reported_last_week_rank,emotion_caring,58267,-0.02988648354
observation,reported_last_week_rank,emotion_confusion,58267,-0.03536365997
observation,reported_last_week_rank,emotion_curiosity,58267,-0.04980714604
observation,reported_last_week_rank,emotion_desire,58267,-0.02842094966
observation,reported_last_week_rank,emotion_disappointment,58267,-0.003721036488
observation,reported_last_week_rank,emotion_disapproval,58267,-0.001784053195
observation,reported_last_week_rank,emotion_disgust,58267,-0.01617333185
observation,reported_last_week_rank,emotion_embarrassment,58267,-0.01046681217
observation,reported_last_week_rank,emotion_excitement,58267,-0.04535174736
observation,reported_last_week_rank,emotion_fear,58267,-0.031487574
observation,reported_last_week_rank,emotion_gratitude,58267,1.045054025e-05
observation,reported_last_week_rank,emotion_grief,58267,-0.01623198147
observation,reported_last_week_rank,emotion_joy,58267,-0.03050577303
observation,reported_last_week_rank,emotion_love,58267,-0.04161066084
observation,reported_last_week_rank,emotion_nervousness,58267,-0.03040024796
observation,reported_last_week_rank,emotion_optimism,58267,-0.01686135701
observation,reported_last_week_rank,emotion_pride,58267,-0.01337330526
observation,reported_last_week_rank,emotion_realization,58267,0.01193737658
observation,reported_last_week_rank,emotion_relief,58267,-0.01191220623
observation,reported_last_week_rank,emotion_remorse,58267,-0.0172295642
observation,reported_last_week_rank,emotion_sadness,58267,-0.01217885943
observation,reported_last_week_rank,emotion_surprise,58267,-0.03333729539
observation,reported_last_week_rank,emotion_neutral,58267,0.03669320952
observation,reported_last_week_rank,sentiment_negative,58267,0.03148647855
observation,reported_last_week_rank,sentiment_neutral,58267,-0.001856937113
observation,reported_last_week_rank,sentiment_positive,58267,-0.03240708384
observation,reported_peak_position,reported_weeks_on_chart,81797,-0.6830766814
observation,reported_peak_position,best_chart_rank,81797,0.8161792332
observation,reported_peak_position,weekly_observation_count,81797,-0.546667852
observation,reported_peak_position,chart_weeks,81797,-0.5466683171
observation,reported_peak_position,total_chart_points,81797,-0.7282412013
observation,reported_peak_position,snapshot_months_selected,81797,-0.5205692324
observation,reported_peak_position,mb_duration_median_seconds,67313,-0.04769692154
observation,reported_peak_position,ll_sexual_content,64422,-0.05963218215
observation,reported_peak_position,ll_violence,64422,-0.02582880475
observation,reported_peak_position,ll_explicit_language,64422,-0.03931295148
observation,reported_peak_position,ll_substance_use,64422,0.002223443081
observation,reported_peak_position,detox_toxicity,64426,-0.05880282407
observation,reported_peak_position,detox_severe_toxicity,64426,-0.05808240893
observation,reported_peak_position,detox_obscene,64426,-0.06845190222
observation,reported_peak_position,detox_threat,64426,-0.05421674561
observation,reported_peak_position,detox_insult,64426,-0.04825503845
observation,reported_peak_position,detox_identity_attack,64426,-0.03186961045
observation,reported_peak_position,detox_sexual_explicit,64426,-0.06311245791
observation,reported_peak_position,emotion_admiration,64426,-0.02002827755
observation,reported_peak_position,emotion_amusement,64426,-0.0238193116
observation,reported_peak_position,emotion_anger,64426,-0.04133231793
observation,reported_peak_position,emotion_annoyance,64426,-0.02084211783
observation,reported_peak_position,emotion_approval,64426,-0.0110177488
observation,reported_peak_position,emotion_caring,64426,-0.02009480076
observation,reported_peak_position,emotion_confusion,64426,-0.0591024012
observation,reported_peak_position,emotion_curiosity,64426,-0.07342204301
observation,reported_peak_position,emotion_desire,64426,-0.02463604274
observation,reported_peak_position,emotion_disappointment,64426,-0.007319315544
observation,reported_peak_position,emotion_disapproval,64426,-0.01365960724
observation,reported_peak_position,emotion_disgust,64426,-0.03138661988
observation,reported_peak_position,emotion_embarrassment,64426,-0.02248179325
observation,reported_peak_position,emotion_excitement,64426,-0.04287927359
observation,reported_peak_position,emotion_fear,64426,-0.03774133831
observation,reported_peak_position,emotion_gratitude,64426,0.02003055812
observation,reported_peak_position,emotion_grief,64426,-0.006268136629
observation,reported_peak_position,emotion_joy,64426,-0.01677804941
observation,reported_peak_position,emotion_love,64426,-0.03067158637
observation,reported_peak_position,emotion_nervousness,64426,-0.03155902634
observation,reported_peak_position,emotion_optimism,64426,-0.01283373325
observation,reported_peak_position,emotion_pride,64426,-0.0002991805201
observation,reported_peak_position,emotion_realization,64426,0.01485439145
observation,reported_peak_position,emotion_relief,64426,0.00450130033
observation,reported_peak_position,emotion_remorse,64426,-0.01031463125
observation,reported_peak_position,emotion_sadness,64426,-0.005889763257
observation,reported_peak_position,emotion_surprise,64426,-0.04203176535
observation,reported_peak_position,emotion_neutral,64426,0.03013332943
observation,reported_peak_position,sentiment_negative,64426,0.01450558583
observation,reported_peak_position,sentiment_neutral,64426,-0.002642094251
observation,reported_peak_position,sentiment_positive,64426,-0.01830355295
observation,reported_weeks_on_chart,best_chart_rank,81797,-0.4027547025
observation,reported_weeks_on_chart,weekly_observation_count,81797,0.5898785345
observation,reported_weeks_on_chart,chart_weeks,81797,0.5898907761
observation,reported_weeks_on_chart,total_chart_points,81797,0.5412089076
observation,reported_weeks_on_chart,snapshot_months_selected,81797,0.5664807104
observation,reported_weeks_on_chart,mb_duration_median_seconds,67313,0.1000516932
observation,reported_weeks_on_chart,ll_sexual_content,64422,0.0461791308
observation,reported_weeks_on_chart,ll_violence,64422,0.03483473847
observation,reported_weeks_on_chart,ll_explicit_language,64422,0.07739377056
observation,reported_weeks_on_chart,ll_substance_use,64422,0.05983579052
observation,reported_weeks_on_chart,detox_toxicity,64426,0.0732817159
observation,reported_weeks_on_chart,detox_severe_toxicity,64426,0.07791005816
observation,reported_weeks_on_chart,detox_obscene,64426,0.08852993498
observation,reported_weeks_on_chart,detox_threat,64426,0.07694398752
observation,reported_weeks_on_chart,detox_insult,64426,0.05918318579
observation,reported_weeks_on_chart,detox_identity_attack,64426,0.04876080945
observation,reported_weeks_on_chart,detox_sexual_explicit,64426,0.07314209856
observation,reported_weeks_on_chart,emotion_admiration,64426,0.0005930131449
observation,reported_weeks_on_chart,emotion_amusement,64426,0.002941911666
observation,reported_weeks_on_chart,emotion_anger,64426,0.03184677339
observation,reported_weeks_on_chart,emotion_annoyance,64426,0.03407813186
observation,reported_weeks_on_chart,emotion_approval,64426,0.01813484372
observation,reported_weeks_on_chart,emotion_caring,64426,0.003434071077
observation,reported_weeks_on_chart,emotion_confusion,64426,0.04278485433
observation,reported_weeks_on_chart,emotion_curiosity,64426,0.04347613785
observation,reported_weeks_on_chart,emotion_desire,64426,0.02928399153
observation,reported_weeks_on_chart,emotion_disappointment,64426,0.01035471679
observation,reported_weeks_on_chart,emotion_disapproval,64426,0.02030517588
observation,reported_weeks_on_chart,emotion_disgust,64426,0.02659304449
observation,reported_weeks_on_chart,emotion_embarrassment,64426,0.01563709013
observation,reported_weeks_on_chart,emotion_excitement,64426,0.02048645987
observation,reported_weeks_on_chart,emotion_fear,64426,0.02196783556
