song_id,title,artist,period,primary_genre,confidence,reason,identity_primary,review,identity_review,review_note,review_source
song_26dc8b6a55362935b770a92681be528031e1eae60d47b21f5bbe20b9a2398b27,White Bucks And Saddle Shoes,"Bobby Pedrick, Jr.",1958–1969,Pop,low,"No tags are supplied; the identifiable late-1950s teen-pop novelty/rock-and-roll context suggests pop, but the basis is indirect and uncertain.",,questionable,,"Teen-pop is plausible, but the sparse evidence does not verify this particular recording.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_2d1c4e54ff3b4fea69b44bc5076c5c2e707dc6f2834e4bef86e57b071425eda2,Can't Help Falling In Love,Elvis Presley With The Jordanaires,1958–1969,Pop,high,"Recording tags include strong pop and rock evidence, but the identifiable Elvis recording is a pop ballad rather than primarily rock-and-roll.",,plausible,,The familiar Elvis ballad supports Pop more directly than a blanket rock label; the long secondary list is less secure.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_30d830a95ffb8c7322352dd1f2121a5deea8394105665f02987fe06fa0a7b146,In And Out Of Love,Diana Ross & The Supremes,1958–1969,R&B / Soul,medium,"No tags are supplied, but the identifiable Diana Ross & The Supremes Motown single is soul-pop; absent direct evidence keeps confidence moderate.",R&B / Soul,plausible,plausible,The Supremes recording fits Motown soul with a pop crossover in both arms.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_3bdcd0c52b13009a6dc8b41cff8ae72333763ec0677acbdc762853aba365b808,The Christmas Song (Merry Christmas To You),Nat King Cole,1958–1969,Jazz / Blues,high,"Recording tags include jazz and swing alongside holiday labels; the identifiable Nat King Cole recording is a jazz/traditional pop vocal standard, with jazz the best taxonomy fit.",,plausible,,Jazz/traditional vocal pop is a defensible treatment of Cole's standard.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_445ce019f72fefe5e322a604f3bf07c182e78c35bce0cb59086d3947a50d1916,Let Me In,The Sensations,1958–1969,R&B / Soul,high,Recording tags strongly indicate doo-wop with R&B and soul support; learned context also fits an early-1960s vocal-group R&B/pop crossover.,R&B / Soul,plausible,plausible,The vocal-group R&B treatment supports Soul despite its pop accessibility.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_50ea809b682afcab684a2f64fcfd5e86c3286489df4267129108b5b8893a4bf8,Like A Rolling Stone,Bob Dylan,1958–1969,Rock,high,"No tags were supplied, but the identifiable Bob Dylan recording is widely known as a landmark folk-rock/rock single rather than purely acoustic folk.",,plausible,,"Dylan's electric folk-rock recording makes Rock primary defensible, with folk secondary.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_5a5cd16abaf07246bb5337c8d24388917029f3347ac3b755d00e4df427018642,Unwind,Ray Stevens,1958–1969,Other,low,"Supplied recording tags only indicate comedy and novelty, which do not map cleanly to the taxonomy, and there is too little style evidence for a defensible musical genre.",,questionable,,"Other reflects lack of recognition, not demonstrated out-of-taxonomy music; the Ray Stevens discography identifies the recording.",https://raystevens.com/discography/
song_629b0d4543a0482a9145a0a75efd8b0f3e2bef536b05e6cb73fc5f7bfd4678c7,Hey Jude,The Beatles,1958–1969,Rock,high,"No tags were supplied, but the identifiable Beatles recording is a rock/pop ballad with strong mainstream pop crossover.",,plausible,,The Beatles recording fits the broad rock/pop boundary without a clear misidentification.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_6ff9b0c852e2518543efdeb12a8d461bb12cb1f08d87f7f3872960d2d742929e,For Your Love,Peaches & Herb,1958–1969,R&B / Soul,medium,"No tags were supplied, but this identifiable Peaches & Herb version is best understood as late-1960s soul/R&B vocal pop; exact arrangement evidence is indirect.",R&B / Soul,plausible,plausible,The Peaches & Herb vocal-soul interpretation supports R&B; this is not another performer's version.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_73bb6d17dc79b2d3de5b3da5aa9c9bac42813c975b368517a5f7e28fdd76e1c6,"Hold Me, Thrill Me, Kiss Me",Mel Carter,1958–1969,Pop,high,"Recording tags most strongly support pop and classic pop vocals, with doo-wop, R&B, and soul showing genuine vocal-pop crossover.",Pop,plausible,plausible,Mel Carter's orchestral vocal ballad fits traditional Pop; secondary Rock is less clearly justified.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_7e30c1693734863a0fecc8328bf158f36c0fedb96ad6b1a253efba966bc482af,The Guns Of Navarone,Joe Reisman Orch. & Chorus,1958–1969,Other,medium,"No tags were supplied; the identifiable orchestral theme recording is primarily instrumental film/TV orchestral music, outside the taxonomy despite some popular-chart context.",Other,plausible,plausible,"Orchestral film-theme music can reasonably fall outside these named categories; unlike sparse-identity Other, this has a style basis.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_8c13d8e4ead4fff60549ddec575dad40428747a694cb844f51a73e2e59e443e1,Respect,Aretha Franklin,1958–1969,R&B / Soul,high,"Identifiable Aretha Franklin recording; supplied recording tags heavily support soul, R&B, rhythm and blues, and deep soul, with pop/rock only secondary noise.",R&B / Soul,plausible,plausible,Aretha Franklin's soul recording is a strong R&B/Soul example.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_940fad53a151dbed140e4f3434e01f801e7bf9f6c2bc8ab11087d241736bfade,Folsom Prison Blues,Johnny Cash,1958–1969,Country,high,"Identifiable Johnny Cash recording; recording tags strongly support country, classic country, Americana, and country rock, with rock as a genuine crossover element.",,plausible,,Cash's country recording is correctly retained despite rockabilly overlap.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_9a06fb279bf9a89ed1a79eccc04ee6dd680a707912152979014ba32ccadf8d7c,True Love Goes On And On,Burl Ives,1958–1969,Folk / Singer-Songwriter,low,"Only an oldies tag is supplied; learned artist context points toward Burl Ives's folk/pop vocal lane, but this specific recording has sparse evidence.",,questionable,,The inference leans on Burl Ives's folk identity; this specific song could instead be vocal pop.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_ad441ca7d322688fff5b1fcb0977b786e5d613405e7dd3e05f181c5f4a2ebe6c,I Fall To Pieces,Patsy Cline,1958–1969,Country,high,"Identifiable Patsy Cline recording; supplied tags strongly support country, classic country, Nashville sound, and traditional country.",,plausible,,Cline's country ballad fits the named category despite crossover appeal.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_aec5a72fd688d3465643aa325e35349fa4c0a9a062230772a3e5b5fab3bd2dac,"Hello, Dolly!",Louis Armstrong And The All Stars,1958–1969,Jazz / Blues,high,"No tags are supplied, but this identifiable Louis Armstrong hit is a jazz/pop show-tune performance, with Armstrong's style supporting jazz as primary.",,plausible,,Armstrong's jazz-band performance makes Jazz/Blues defensible despite traditional-pop overlap.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_c175234ba4926133ea1ec08dc7971e3446004ae13bd450e4937342dcfc6bf077,I Heard It Through The Grapevine,Marvin Gaye,1958–1969,R&B / Soul,high,"Identifiable Marvin Gaye Motown hit; recording tags strongly support soul, R&B, funk and Motown, with pop/rock tags secondary to its soul style.",,plausible,,The Marvin Gaye recording has a clear soul identity.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_c621cfa245241f1ede4d5a3c0552e33fcf76bcfd4ccb6daa72e3ad013b3d4fa0,I Can't Stop Loving You,Ray Charles,1958–1969,R&B / Soul,high,"Identifiable Ray Charles crossover recording; tags most strongly support soul and R&B, while jazz, blues and country evidence reflect genuine stylistic crossover.",Country,plausible,plausible,"Ray Charles's interpretation straddles soul and country; either primary is defensible, and the disagreement is not an obvious error.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_d1144e651a7db9b1bfac074c20e133c378ff0d99c0fb41156bb1677cb1b254a3,Over And Over,Bobby Day,1958–1969,Rock,medium,"Recording tags split between doo-wop/R&B and rock and roll for Bobby Day, making early rock and roll the best broad fit with R&B crossover.",R&B / Soul,plausible,plausible,Bobby Day's R&B/early-rock crossover supports both broad choices; do not confuse it with the later Dave Clark Five version.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_de9170e8e62446f52437643bfd1b1dd47bc4b8293c7035f8888c5d679cef5cd8,Malayisha,Miriam Makeba,1958–1969,Other,low,"No supplied tags and the specific recording is not clear enough here; Miriam Makeba context suggests African popular/folk influence, but that is insufficient song-specific evidence.",Afrobeats / African Pop,questionable,plausible,"African popular/folk context is more useful than Other, but a song-specific style judgment remains less certain than Makeba's artist biography.",https://www.allmusic.com/artist/miriam-makeba-mn0000496097
song_e8c3fc6c6e1f765fc422070358b4fa4e705e746857c034d5ed2a511db646b411,Two Little Kids,Peaches & Herb,1958–1969,R&B / Soul,low,"No tags are supplied; Peaches & Herb were known for 1960s soul/pop duets, but this specific recording has limited evidence, so R&B / Soul is tentative.",R&B / Soul,questionable,questionable,"Soul fits the duo's context, but sparse song evidence makes both judgments provisional rather than independently verified.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_f02e6d705e7faa04e469d80e3875be41a76646cc7117a1e563c8811c46ecdd25,Everybody Go Home,Eydie Gorme,1958–1969,Pop,low,"No tags are supplied and the specific Eydie Gorme recording is uncertain; her early-1960s chart material generally fits traditional pop, but evidence is sparse.",,questionable,,"Vocal Pop fits Gorme's repertoire, but the specific recording remains under-evidenced.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_f9ddcd2f7850ac896c1cdb787d553b63fe78a5f64c8ff1f0fb8e2e7cf7641e9c,3rd Man Theme,Herb Alpert & The Tijuana Brass,1958–1969,Jazz / Blues,high,"Recording tags emphasize easy listening, jazz and latin jazz for Herb Alpert's instrumental version, making jazz the best taxonomy fit with some Latin stylistic influence.",Jazz / Blues,plausible,plausible,The Tijuana Brass instrumental reasonably fits jazz-pop; Latin as a secondary needs more than the ensemble's branding.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_002cebf313bfd5ccfd563b8ec75fc04cee875e3417d9f4c8bca42ea377016acf,Let's Stay Together,Al Green,1970s,R&B / Soul,high,"The identifiable Al Green recording is clearly soul/R&B, and supplied recording tags heavily support soul, Memphis soul, smooth soul, funk and R&B.",,plausible,,Al Green's soul recording strongly supports this primary.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_1f3dbe6945ae1849e0479aa13b2ac79769d21af4419b277f92c42de038a0a958,Jolene,Dolly Parton,1970s,Country,high,"The identifiable Dolly Parton recording and supplied tags strongly support country, classic country, bluegrass and country pop; scattered rock, reggae and other tags look noisy.",,plausible,,Parton's country song is a clear primary; the taxonomy need not elevate every crossover influence.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_32e956d7ab212c9ce517184027a9a0a8b2814bdb25f7a4247e9ce8d1d8d33ba2,Baby Face,The Wing And A Prayer Fife & Drum Corps.,1970s,Other,low,"No genre tags are supplied, and the identifiable 1975 hit version is a novelty/disco-styled revival by a fife-and-drum-named studio act, making a taxonomy choice uncertain.",Pop,clearly wrong,questionable,The named Wing and a Prayer recording is a documented disco adaptation. Other misses an available category; B at least preserves Dance secondarily but generic Pop is less specific.,https://jameshamiltonsdiscopage.com/1975/12/13/december-13-1975/
song_3d3d6dbe6afb23cfdf8bdb56ae16f1238644091c6091cfea602a92f3ec0a978e,Stayin' Alive,Bee Gees,1970s,Electronic / Dance,high,"Recording evidence is dominated by disco and dance tags, and the identifiable Bee Gees recording is a canonical disco track with pop and blue-eyed soul crossover elements.",,plausible,,Disco falls within the broad Electronic/Dance category; it is not a claim that all instruments are electronic.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_4e595dae396b8c8d6e617d22ebdf96eefd808ddb3b2d50663c0b96ba1809faae,(I'd Know You) Anywhere,Ashford & Simpson,1970s,R&B / Soul,low,"No tags are supplied, but the identifiable Ashford & Simpson act and early-1970s Motown-associated song plausibly indicate soul; the specific recording evidence is absent, so confidence is low.",,questionable,,The Ashford & Simpson soul assignment rests mainly on act-level familiarity rather than checked recording evidence.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_66e3a32dd4604c4c4bb2490dafb9a9780fa010bf35d988f55be64637d260d37a,Viva Tirado - Part I,El Chicano,1970s,Jazz / Blues,medium,"No tags are supplied, but the identifiable El Chicano recording is best known as a Latin jazz/rock instrumental; Jazz / Blues is the closest primary with Latin crossover.",Latin,plausible,plausible,El Chicano's Latin-jazz instrumental crosses both named categories; neither arm is obviously wrong.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_728925dc4a3c8dbfe9f3246dffa5d6a5f5ae65ef8637ee88e521237fad75a8da,Don't Want To Live Without It,Pablo Cruise,1970s,Rock,high,"Recording tags strongly point to soft rock, rock, and pop/rock, so Rock is better supported than generic Pop.",Rock,plausible,plausible,Pablo Cruise's soft-rock/pop style supports the broad Rock choice.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_743651acd80309a38ef51ee4e42f7dc5e9cd9a4d8a66440fa563b76e7a855478,Feels So Good,Chuck Mangione,1970s,Jazz / Blues,high,"Recording tags heavily support jazz, smooth jazz, instrumental jazz, and contemporary jazz; disco/pop/Latin tags indicate crossover but not the main style.",,plausible,,Mangione's jazz-pop instrumental fits Jazz/Blues; Electronic/Dance secondary is not established merely by its groove.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_7af106e9903c0d3166b0e4713f04b5f19e9fd66ab7805f1e45bfa0eb60c7eb4c,Some Guys Have All The Luck,The Persuaders,1970s,R&B / Soul,high,"The supplied recording tag is soul, and the identifiable Persuaders version is a soul/R&B recording.",R&B / Soul,plausible,plausible,"The Persuaders' original is a soul recording, distinct from later pop/rock covers.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_871c4ad5bdbc31a2492e368ff5235aa8f8aaa094a3dcb8ba0e0ac32ed4b9c53a,Rapper's Delight,Sugarhill Gang,1970s,Hip-Hop / Rap,high,"Recording tags strongly support hip hop, rap, old school hip hop, and turntablism, with disco/funk/R&B elements as crossover context.",,plausible,,The rap performance remains primary despite a disco-derived accompaniment.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_8794d1c12e8c77e7ad430a1b484aee515afa3d9ead32874c9ea8b0519ab7ae77,Don't Hide Your Love,Cher,1970s,Rock,medium,"Recording tags strongly support soft rock, rock, pop rock, folk rock, and country rock; the country tag suggests crossover, but the broad musical evidence points most to Rock.",Pop,questionable,plausible,Cher's pop ballad is not clearly better represented by Rock; the model's four-category list looks overly expansive.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_893cc453fd6abdf92143801f9be8b45c9b946bc24bfba4384a35774137e70121,You Gotta Have Love In Your Heart,The Supremes & Four Tops,1970s,R&B / Soul,medium,"Recording tags include R&B and R&B/soul, matching the Motown soul context of the identifiable Supremes/Four Tops collaboration; the electronic tag is isolated and likely noisy.",R&B / Soul,plausible,plausible,Both Motown groups' collaboration supports Soul with a pop crossover.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_8c901f5b3e5e4c25f7cf44180cd1bedcb3567ea88b9e7b4153fe86d1ba6fa8c8,Take Me In Your Arms (Rock Me),The Doobie Brothers,1970s,Rock,high,"Recording tags consistently indicate classic rock, rock, and soft rock, and the identifiable Doobie Brothers track is best understood as mainstream 1970s rock.",Rock,plausible,plausible,The Doobie Brothers' version supports Rock rather than simply inheriting the original soul recording's identity.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_8e64a9fb74d090f32e2aa44850698d800e0823385a63b40d4adb48a13ff8d0c5,Steppin' Out (Gonna Boogie Tonight),Tony Orlando & Dawn,1970s,Pop,low,"No tags are supplied; based on the identifiable Tony Orlando & Dawn single, Pop is the most defensible broad category, with title-based boogie implications too weak to classify as dance.",,questionable,,"Pop is plausible for this recording, but the low-confidence result lacks song-specific support.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_93ddae64dcbe4d5878f02e213d7587e345bcf0263c0250738609513e3bb3494a,Bohemian Rhapsody,Queen,1970s,Rock,high,"No tags are supplied, but the identifiable Queen recording is a classic rock/art rock song with operatic pop elements; Rock is the clearest broad genre.",Rock,plausible,plausible,Queen's rock suite clearly fits Rock even though its sections vary.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_b03e2ccfd2ef38b55a5a4b9d561ca174161c714d8d380d32b50b28679ab09813,What Can I Do With This Broken Heart,England Dan & John Ford Coley,1970s,Pop,high,Recording tags favor pop with soft rock and pop rock support; this identifiable England Dan & John Ford Coley track fits late-1970s soft pop/soft rock.,,plausible,,"The soft-rock/adult-pop ballad permits either parent; Pop is reasonable, not a proven correction of tags.",Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_b366f7e48c0bce91e751ed307cdec86dd404c75ec3c336c3064dde51b903042c,Hound Dog Man (Play It Again),Lenny LeBlanc,1970s,Country,low,"No tags are supplied and the song is less familiar; the Lenny LeBlanc identity and chart-era style suggest a country-leaning pop record, but uncertainty is substantial.",,questionable,,The model appears to infer Country from limited context; LeBlanc's documented recording history does not by itself settle this track's style.,https://lennyleblanc.com/discography/hound-dog-man/
song_b7ae45ffd7fb35b6bd81abbfb4fc36b04071dbe8847757321e5c8dc779360e24,I Feel Love,Donna Summer,1970s,Electronic / Dance,high,"Recording tags strongly support disco, club/dance, electronic, and synth-pop, and the identifiable Donna Summer track is a landmark electronic disco record.",,plausible,,The electronic disco recording is a strong Dance example.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_c89f4d6d464f96d596f24b263cc4b17d6fac7434d27ef5a6b4a726e4f9c3c4c8,You'll Never Find Another Love Like Mine,Lou Rawls,1970s,R&B / Soul,high,"Recording tags repeatedly support soul, R&B, smooth soul, quiet storm, and some disco; the identifiable song is a soul/R&B classic with dance crossover.",R&B / Soul,plausible,plausible,Lou Rawls's polished soul recording supports the primary; secondary breadth is less certain.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_e7f27262ace9ab2f5c1d356b0e7420d2629f77521e23fb9d227c23b87bbd4a4e,Paranoid,Black Sabbath,1970s,Metal,high,"Identifiable Black Sabbath recording widely recognized as early heavy metal; no supplied tags, but learned musical knowledge is very strong.",Metal,plausible,plausible,Black Sabbath's heavy-metal recording warrants Metal over generic Rock.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_f3fe9aff88df7dafc10a5d25b5f52242c7f040ae407babb74fb853b5b1121ecd,Knockin' On Heaven's Door,Bob Dylan,1970s,Folk / Singer-Songwriter,high,"Identifiable Bob Dylan song known as acoustic folk-rock singer-songwriter material; no supplied tags, so the rock crossover is from learned knowledge.",Folk / Singer-Songwriter,plausible,plausible,Dylan's original folk-rock performance supports the folk/singer-songwriter grouping; this is not a hard-rock cover.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_03b04ccc08b0db06679c78f70460db22fefb0af4972aba29275de1a156677aa9,Conga,Miami Sound Machine,1980s,Latin,high,"Recording tags support latin, latin pop, salsa, Cuban, dance, and pop; the identifiable song is a Latin pop/dance crossover.",,plausible,,The Latin-pop/dance crossover retains its Latin identity rather than only generic Pop.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
song_19f3c39248b3474abcce115c119e7a754e3b57ac8247fc1f257780efc7cfaeee,Sincerely Yours,Sweet Sensation (With Romeo J.D.),1980s,R&B / Soul,medium,"No tags are supplied, but the identifiable late-1980s Sweet Sensation/Romeo J.D. single is best understood as urban contemporary/freestyle-leaning R&B-pop; evidence is indirect.",,clearly wrong,,The identified Sweet Sensation recording is a defining freestyle dance single; R&B/Soul as primary misses that dance identity despite the model mentioning freestyle.,https://freestylemusic.org/sincerely-yours-sweet-sensation/
song_20f4a16fa209badbffe170632f6cd752c60aedf886ccbce11e7316763497b1f6,Never Gonna Give You Up,Rick Astley,1980s,Pop,high,"No tags are supplied, but this identifiable Rick Astley hit is widely known as late-1980s dance-pop/Hi-NRG-influenced pop.",Pop,plausible,plausible,Rick Astley's dance-pop recording supports Pop with Dance secondary.,Supplied metadata and assistant learned musical knowledge; no independent factual adjudication
